100000 500000
82369 17917 7
54172 87871 10
25409 53603 1
51510 85181 12
13447 59317 18
86910 70399 5
45545 1680 7
37664 92802 2
16601 31504 4
73041 99201 14
32282 92208 16
14888 68050 5
71230 9554 14
31987 2266 16
54163 57818 5
30166 85032 4
33305 45229 19
64340 77605 13
29469 37106 18
709 69160 2
94032 8938 10
22116 98312 6
71427 8632 7
58972 48342 3
72434 84769 1
96874 55137 2
39804 87854 4
21410 59792 8
59339 78814 13
31253 68971 10
43573 81764 17
36390 78735 20
7468 65112 4
59659 33603 2
19592 64863 6
92110 22209 2
46868 27292 2
60574 88708 2
55875 23995 7
60941 89698 18
48445 20714 3
15880 86711 19
17150 48829 1
18894 39091 18
46537 33547 10
53510 78597 8
74132 27724 20
53269 41488 20
23370 96014 2
77389 28463 4
38625 25317 5
29823 24412 7
81410 35999 4
48989 82985 10
94595 34305 7
37935 60429 20
67863 62237 16
82350 63343 18
92285 33713 10
75460 79135 12
8234 30256 17
46995 73204 14
45895 55219 12
10528 1013 14
6427 89663 14
55034 51401 3
81144 9910 15
97032 43563 3
40512 9139 5
85269 32074 7
66851 59980 5
623 71789 11
44708 48331 17
45216 62127 16
58390 40411 10
79666 4338 18
90842 46691 3
32711 27073 1
5730 69197 14
13713 48163 1
4706 11166 13
26344 95042 16
90359 11451 17
60644 68965 11
28760 92286 12
95021 5604 3
28332 3420 13
69613 24376 11
76701 91780 12
90851 57379 4
70578 40671 5
19710 1550 9
77778 28858 17
68669 83723 16
7280 22374 12
73211 99926 19
57955 96266 11
5306 38028 17
58428 89146 4
51510 71209 17
9575 57831 9
51181 53857 15
26822 23319 11
8234 2079 19
45626 7665 20
41191 57225 17
86839 56038 2
44262 92096 13
14165 58259 15
28976 50194 12
65858 83260 2
26606 36744 1
7946 50201 13
14391 76866 4
14872 82481 8
15287 82916 16
77998 85962 13
61391 21255 18
36137 78663 5
99911 33684 6
2217 34237 20
93767 9861 6
18519 20672 15
82317 83157 10
88108 22425 12
46320 59063 19
38676 47094 12
90271 37883 15
42276 29458 2
23521 18635 15
27049 26955 13
61912 1342 7
68180 6536 5
81567 17742 13
10505 54861 14
60791 85990 1
41882 42050 6
87046 68105 7
95005 23606 6
66455 16996 14
94396 5546 1
70395 66234 15
95392 21852 18
79586 96405 7
69015 98570 14
25942 18223 20
83163 334 2
51722 56677 10
23635 7882 20
47026 31431 8
97620 71736 8
82074 92097 20
47465 85071 16
29662 31612 19
53246 92428 14
39384 88479 13
47533 61226 19
22476 47690 6
14714 14952 11
64473 24269 17
12569 84340 19
76109 46331 7
71350 62898 10
35283 9431 2
80871 60450 8
71930 2962 14
95685 14239 18
16309 44185 14
66619 28211 12
1645 89432 5
75244 83892 16
98160 38627 2
81320 67646 11
89411 81551 8
56029 5091 12
75018 73401 1
62022 54101 7
41944 39112 3
20317 48801 2
96698 39649 8
93718 85726 9
72036 70353 19
15105 72683 9
20116 27059 4
57344 87308 2
51831 1360 16
52890 49448 19
44281 3782 20
9158 62624 9
85885 91174 12
22575 79011 5
89316 53647 1
55286 52105 20
61532 69200 13
76207 8652 15
71772 99777 16
49098 58698 12
20344 7738 10
41741 40977 15
12574 74648 5
20580 48735 9
97830 41641 20
97021 73595 14
16505 58435 4
45098 1872 15
19570 48528 11
40146 78036 18
64152 17644 20
77305 46140 11
63973 31398 18
63983 62605 19
7755 93335 1
15637 59389 12
55788 53268 3
24328 99531 1
53330 75207 15
36992 54051 18
64 85317 5
78676 93653 12
77735 80339 20
81435 56444 12
53626 87620 9
3346 30087 10
67479 73293 16
98782 2490 14
90627 16545 12
38766 32744 1
34657 40257 9
32625 80542 3
71573 23199 13
69827 34036 11
78500 87344 2
36693 22976 1
19186 85905 15
89689 14329 10
41453 63778 9
77617 46352 15
21947 20731 2
35175 86326 19
15663 17872 11
